Player,MP,Dunks
Aaron Gordon,2376,130
Aaron Henry,17,0
Aaron Holiday,2042,0
Aaron Nesmith,574,5
Aaron Wiggins,1209,15
Abdel Nader,145,1
Ade Murkey,1,0
Admiral Schofield,469,1
Ahmad Caver,1,0
Al Horford,2005,31
Alec Burks,2318,3
Aleem Ford,74,1
Aleksej Pokusevski,1233,32
Alex Caruso,1147,4
Alex Len,620,26
Alfonzo McKinnie,206,7
Alize Johnson,334,0
Alperen Şengün,1489,44
Amir Coffey,1567,14
Andre Drummond,2874,186
Andre Iguodala,603,17
Andrew Wiggins,2329,45
Anfernee Simons,1681,8
Anthony Davis,1404,111
Anthony Edwards,2466,58
Anthony Gill,463,3
Anthony Lamb,8,0
Armoni Brooks,1688,6
Arnoldas Kulboka,5,0
Austin Reaves,1418,6
Austin Rivers,1480,2
Avery Bradley,1406,1
Ayo Dosunmu,2110,20
B.J. Johnson,65,1
Bam Adebayo,1825,119
Ben McLemore,1285,8
Bismack Biyombo,506,34
Blake Griffin,958,13
Boban Marjanović,128,9
Bobby Portis,2028,24
Bogdan Bogdanović,1848,3
Bojan Bogdanović,2131,11
Bol Bol,81,5
Bones Hyland,1310,3
Brad Wanamaker,640,0
Bradley Beal,1439,13
Brandon Boston Jr.,760,15
Brandon Clarke,1246,77
Brandon Goodwin,502,0
Brandon Ingram,1869,39
Brandon Knight,65,0
Brandon Williams,640,1
Braxton Key,394,12
Brodric Thomas,60,1
Brook Lopez,298,15
Bruce Brown,1774,34
Bruno Fernando,304,34
Bryn Forbes,2572,0
Buddy Hield,4998,14
C.J. Miles,2,0
CJ Elleby,1174,10
CJ McCollum,4290,8
Cade Cunningham,2088,19
Caleb Martin,1372,36
Cam Reddish,2024,26
Cam Thomas,1176,0
Cameron Johnson,1730,19
Cameron McGriff,46,0
Cameron Oliver,43,1
Cameron Payne,1278,1
Caris LeVert,3562,40
Carlik Jones,46,0
Carmelo Anthony,1793,11
Carsen Edwards,79,0
Cassius Stanley,155,0
Cassius Winston,39,0
Cat Barber,13,0
Cedi Osman,1462,8
Chandler Hutchison,22,0
Charles Bassey,168,13
Charlie Brown Jr.,354,4
Chaundee Brown Jr.,208,0
Cheick Diallo,31,1
Chimezie Metu,1279,63
Chris Boucher,1690,67
Chris Chiozza,372,0
Chris Duarte,1541,15
Chris Paul,2139,0
Chris Silva,182,4
Christian Wood,2094,120
Chuma Okeke,1749,29
Clint Capela,2042,164
Coby White,1675,5
Cody Martin,1866,34
Cody Zeller,355,16
Cole Anthony,2059,14
Collin Sexton,316,4
Corey Kispert,1801,12
Cory Joseph,1600,0
Craig Sword,19,0
D'Angelo Russell,2077,5
D.J. Augustin,1766,0
D.J. Wilson,54,4
DaQuan Jeffries,9,1
Daishen Nix,261,3
Dakota Mathias,16,0
Dalano Banton,696,6
Damian Jones,1017,57
Damian Lillard,1056,2
Damion Lee,1256,2
Damyean Dotson,21,0
Daniel Gafford,1444,158
Daniel Oturu,27,0
Daniel Theis,1954,96
Danilo Gallinari,1672,19
Danny Green,1353,1
Danuel House Jr.,1454,14
Darius Bazley,1924,77
Darius Garland,2430,0
Darren Collison,37,0
David Duke Jr.,341,10
David Johnson,2,0
David Nwaba,609,22
Davion Mitchell,2076,3
Davon Reed,668,2
Day'Ron Sharpe,391,22
De'Aaron Fox,2083,14
De'Andre Hunter,1577,22
De'Anthony Melton,1657,21
DeAndre Jordan,1244,138
DeAndre' Bembry,2052,40
DeJon Jarreau,1,0
DeMar DeRozan,2743,33
DeMarcus Cousins,1436,40
Dean Wade,980,14
Deandre Ayton,1713,95
Deividas Sirvydis,27,0
Dejounte Murray,2366,23
Delon Wright,1452,7
Deni Avdija,1984,7
Dennis Schröder,3674,0
Dennis Smith Jr.,638,3
Denzel Valentine,444,2
Derrick Favors,653,12
Derrick Jones Jr.,899,39
Derrick Rose,636,0
Derrick Walton,108,0
Derrick White,4398,14
Desmond Bane,2266,6
Devin Booker,2345,21
Devin Cannady,145,0
Devin Vassell,1937,28
Devon Dotson,85,0
Devontae Cacok,121,3
Devonte' Graham,2162,1
Dewayne Dedmon,1065,30
Didi Louzada,258,0
Dillon Brooks,885,12
Domantas Sabonis,4272,118
Donovan Mitchell,2266,21
Donte DiVincenzo,2012,4
Dorian Finney-Smith,2644,49
Doug McDermott,1223,5
Draymond Green,1329,21
Drew Eubanks,2490,154
Duane Washington Jr.,968,6
Duncan Robinson,2043,2
Dwight Howard,971,40
Dwight Powell,1798,108
Dylan Windler,459,3
Dāvis Bertāns,1614,18
Ed Davis,201,2
Elfrid Payton,549,4
Elijah Hughes,868,4
Emanuel Terry,18,0
Emmanuel Mudiay,11,0
Enes Freedom,411,2
Eric Bledsoe,1361,1
Eric Gordon,1669,3
Eric Paschall,736,17
Eugene Omoruyi,18,0
Evan Fournier,2358,3
Evan Mobley,2331,151
Facundo Campazzo,1184,0
Feron Hunt,8,0
Frank Jackson,1164,5
Frank Kaminsky,181,4
Frank Ntilikina,685,1
Franz Wagner,2429,59
Fred VanVleet,2462,0
Freddie Gillespie,119,2
Furkan Korkmaz,1414,8
Gabe Vincent,1589,1
Gabe York,21,0
Gabriel Deck,56,0
Gabriel Lundberg,44,0
Garrett Temple,1098,4
Garrison Mathews,1712,10
Gary Clark,378,0
Gary Harris,1730,7
Gary Payton II,1247,55
Gary Trent Jr.,2448,14
George Hill,1253,3
George King,19,0
Georges Niang,1736,2
Georgios Kalaitzakis,428,8
Giannis Antetokounmpo,2204,179
Goga Bitadze,729,26
Goran Dragić,996,2
Gordon Hayward,1564,19
Gorgui Dieng,371,2
Grant Williams,1875,11
Grayson Allen,1805,10
Greg Brown III,640,41
Greg Monroe,390,2
Hamidou Diallo,1269,51
Harrison Barnes,2587,25
Hassan Whiteside,1162,86
Hassani Gravett,171,0
Haywood Highsmith,163,0
Herbert Jones,2335,52
Ignas Brazdeikis,536,0
Immanuel Quickley,1802,2
Isaac Bonga,69,0
Isaac Okoro,1981,36
Isaiah Hartenstein,1216,66
Isaiah Jackson,541,46
Isaiah Joe,609,4
Isaiah Livers,383,1
Isaiah Roby,948,36
Isaiah Stewart,1816,28
Isaiah Thomas,666,0
Isaiah Todd,74,0
Ish Smith,2252,2
Ish Wainright,359,3
Ivica Zubac,1852,110
JT Thor,262,7
Ja Morant,1889,58
JaMychal Green,1085,61
JaQuori McLaughlin,11,0
JaVale McGee,1172,100
Jabari Parker,112,4
Jaden McDaniels,1803,46
Jaden Springer,6,0
Jae Crowder,1886,2
Jae'Sean Tate,2056,43
Jahmi'us Ramsey,134,2
Jaime Echenique,3,0
Jake Layman,231,6
Jakob Poeltl,1970,44
Jalen Brunson,2524,5
Jalen Green,2138,69
Jalen Johnson,120,10
Jalen McDaniels,895,17
Jalen Smith,1850,76
Jalen Suggs,1307,15
James Bouknight,304,4
James Ennis III,112,0
James Harden,4838,12
James Johnson,1191,25
Jamorko Pickett,176,1
Jared Butler,360,0
Jared Harper,43,1
Jaren Jackson Jr.,2126,46
Jarred Vanderbilt,1880,117
Jarrett Allen,1809,164
Jarrett Culver,338,4
Jarron Cumberland,12,0
Javin DeLaurier,3,0
Javonte Green,1519,58
Javonte Smart,400,0
Jaxson Hayes,1398,105
Jay Huff,20,0
Jay Scrubb,121,1
Jaylen Brown,2220,31
Jaylen Hoard,240,4
Jaylen Morris,16,0
Jaylen Nowell,975,8
Jaysean Paige,7,0
Jayson Tatum,2731,76
Jeff Dowtin,216,0
Jeff Green,1849,74
Jemerrio Jones,15,0
Jerami Grant,1500,29
Jeremiah Robinson-Earl,1087,15
Jeremy Lamb,1870,0
Jericho Sims,555,33
Jevon Carter,1810,2
Jimmy Butler,1931,38
Jock Landale,589,23
Joe Harris,423,0
Joe Ingles,1122,0
Joe Johnson,2,0
Joe Wieskamp,205,0
Joel Ayayi,20,0
Joel Embiid,2297,74
John Collins,1663,85
John Konchar,1292,18
Jon Teske,8,0
Jonas Valančiūnas,2240,53
Jonathan Kuminga,1185,74
Jordan Bell,2,0
Jordan Clarkson,2141,8
Jordan Goodwin,6,0
Jordan McLaughlin,902,3
Jordan Nwora,1185,10
Jordan Poole,2283,16
Jordan Schakel,30,0
Jose Alvarado,834,0
Josh Christopher,1334,35
Josh Giddey,1700,4
Josh Green,1039,20
Josh Hart,3582,38
Josh Jackson,1660,18
Josh Okogie,516,9
Josh Richardson,3200,16
Joshua Primo,965,8
Jrue Holiday,2207,4
Juan Toscano-Anderson,994,21
Juancho Hernangómez,890,10
Julius Randle,2544,43
Justin Anderson,632,2
Justin Champagnie,281,3
Justin Holiday,4114,24
Justin Jackson,74,0
Justin Robinson,608,0
Justise Winslow,1548,10
Jusuf Nurkić,1579,35
Juwan Morgan,62,0
KZ Okpala,244,7
Kai Jones,63,7
Karl-Anthony Towns,2476,99
Keifer Sykes,566,4
Keita Bates-Diop,956,19
Kelan Martin,900,6
Keldon Johnson,2392,25
Keljin Blevins,349,1
Kelly Olynyk,764,11
Kelly Oubre Jr.,1999,53
Kemba Walker,948,0
Kenrich Williams,1072,24
Kent Bazemore,545,1
Kentavious Caldwell-Pope,2329,6
Kenyon Martin Jr.,1656,114
Keon Johnson,1394,24
Kessler Edwards,987,18
Kevin Durant,2047,34
Kevin Huerter,2188,3
Kevin Knox,444,14
Kevin Love,1665,5
Kevin Pangos,166,0
Kevin Porter Jr.,1907,34
Kevon Looney,1732,83
Khem Birch,991,24
Khris Middleton,2141,6
Killian Hayes,1647,13
Killian Tillie,461,3
Kira Lewis Jr.,341,3
Klay Thompson,941,5
Kris Dunn,336,4
Kristaps Porziņģis,2962,170
Kyle Anderson,1484,19
Kyle Guy,186,0
Kyle Kuzma,2204,19
Kyle Lowry,2133,0
Kyrie Irving,1091,1
LaMarcus Aldridge,1050,18
LaMelo Ball,2422,24
Lamar Stevens,1015,33
Lance Stephenson,1628,2
Landry Shamet,1437,13
Langston Galloway,214,0
Larry Nance Jr.,2080,86
Lauri Markkanen,1878,52
LeBron James,2084,85
Leandro Bolmaro,241,2
Lindell Wigginton,199,0
Lindy Waters III,465,4
Lonnie Walker IV,1612,21
Lonzo Ball,1212,6
Lou Williams,799,1
Louis King,104,0
Luguentz Dort,1665,24
Luka Dončić,2301,7
Luka Garza,389,4
Luke Kennard,1919,0
Luke Kornet,206,8
M.J. Walker,8,0
Mac McClung,50,0
Malachi Flynn,537,0
Malcolm Brogdon,1206,4
Malcolm Hill,424,0
Malik Beasley,1976,16
Malik Fitts,126,2
Malik Monk,2139,54
Malik Newman,8,0
Mamadi Diakite,188,10
Marcus Garrett,128,0
Marcus Morris,1564,0
Marcus Smart,2296,8
Markelle Fultz,360,2
Markieff Morris,298,4
Marko Simonovic,35,1
Markus Howard,176,0
Marquese Chriss,346,27
Marvin Bagley III,2292,104
Mason Jones,51,0
Mason Plumlee,1793,108
Matisse Thybulle,1685,60
Matt Mooney,2,0
Matt Ryan,5,0
Matt Thomas,459,0
Maurice Harkless,863,17
Max Strus,1587,7
Maxi Kleber,1450,20
McKinley Wright IV,19,0
Melvin Frazier,120,1
Micah Potter,31,0
Michael Porter Jr.,265,2
Mikal Bridges,2854,54
Mike Conley,2058,0
Mike Muscala,592,9
Miles Bridges,2837,118
Miles McBride,372,0
Mitchell Robinson,1848,178
Miye Oni,44,0
Mo Bamba,1824,85
Monte Morris,2239,0
Montrezl Harrell,3282,300
Moritz Wagner,960,50
Moses Brown,690,80
Moses Moody,607,11
Moses Wright,28,0
Mychal Mulder,478,4
Myles Powell,52,0
Myles Turner,1235,22
Naji Marshall,735,14
Nassir Little,1088,32
Nate Hinton,2,0
Nathan Knight,267,13
Naz Reid,1215,40
Neemias Queta,120,5
Nemanja Bjelica,1142,9
Nerlens Noel,562,3
Nic Claxton,974,88
Nick Richards,367,30
Nickeil Alexander-Walker,2932,16
Nicolas Batum,1462,14
Nik Stauskas,78,0
Nikola Jokić,2476,31
Nikola Vučević,2418,34
Norman Powell,2916,26
Norvel Pelle,19,2
OG Anunoby,1728,62
Obi Toppin,1230,102
Olivier Sarr,421,19
Omer Yurtseven,706,39
Onyeka Okongwu,992,59
Oshae Brissett,1564,32
Otto Porter Jr.,1396,11
P.J. Tucker,1981,3
P.J. Washington,1768,51
PJ Dozier,340,4
Paris Bass,7,1
Pascal Siakam,2578,31
Pat Connaughton,1691,8
Patrick Beverley,1476,0
Patrick Williams,422,7
Patty Mills,2346,0
Paul George,1077,10
Paul Millsap,752,6
Paul Reed,302,22
Paul Watson,156,0
Payton Pritchard,1001,1
Petr Cornelie,38,2
Precious Achiuwa,1725,67
Quentin Grimes,786,3
Quinndary Weatherspoon,73,1
R.J. Hampton,1402,9
RJ Barrett,2417,40
RJ Nembhard Jr.,63,0
Rajon Rondo,1394,0
Raul Neto,1372,0
Rayjon Tucker,142,2
Reggie Bullock,1902,2
Reggie Jackson,2337,10
Reggie Perry,374,12
Richaun Holmes,1074,62
Ricky Rubio,970,0
Rob Edwards,11,0
Robert Covington,3880,24
Robert Williams,1804,157
Robert Woodard II,42,1
Robin Lopez,612,7
Rodney Hood,1418,2
Rodney McGruder,754,1
Romeo Langford,1542,16
Royce O'Neale,2406,10
Rudy Gay,1038,14
Rudy Gobert,2120,233
Rui Hachimura,943,22
Russell Westbrook,2678,17
Ryan Arcidiacono,76,0
Saben Lee,604,7
Saddiq Bey,2704,23
Sam Dekker,1,0
Sam Hauser,158,0
Sam Merrill,58,0
Sandro Mamukelashvili,407,8
Santi Aldama,360,10
Scottie Barnes,2617,62
Scottie Lewis,7,0
Scotty Hopson,18,0
Sekou Doumbouya,16,0
Semi Ojeleye,812,10
Serge Ibaka,1754,42
Seth Curry,4270,0
Shai Gilgeous-Alexander,1942,23
Shake Milton,1179,1
Shaq Buchanan,10,0
Shaquille Harrison,23,0
Sharife Cooper,39,0
Skylar Mays,220,2
Solomon Hill,139,0
Spencer Dinwiddie,3960,6
Stanley Johnson,1094,2
Stephen Curry,2211,0
Sterling Brown,628,0
Steven Adams,1999,48
Svi Mykhailiuk,716,7
T.J. McConnell,652,0
Tacko Fall,59,2
Taj Gibson,946,18
Talen Horton-Tucker,1511,16
Taurean Prince,1177,7
Terance Mann,2317,56
Terence Davis,536,7
Terrence Ross,1448,10
Terry Rozier,2458,10
Terry Taylor,714,11
Thaddeus Young,1690,14
Thanasis Antetokounmpo,473,25
Theo Pinson,148,1
Thomas Bryant,439,30
Théo Maledon,908,1
Tim Frazier,416,0
Tim Hardaway Jr.,1245,15
Timothé Luwawu-Cabarrot,685,6
Tobias Harris,2543,43
Tomáš Satoranský,1812,12
Tony Bradley,549,13
Tony Snell,1646,6
Torrey Craig,3192,36
Trae Young,2652,0
Trayvon Palmer,17,0
Tre Jones,1148,1
Tre Mann,1367,6
Tre Scott,11,0
Tremont Waters,100,0
Trendon Watford,869,7
Trent Forrest,765,3
Trevelin Queen,74,1
Trevor Ariza,462,1
Trey Burke,441,0
Trey Lyles,3074,46
Trey Murphy III,864,17
Tristan Thompson,1794,66
Troy Brown Jr.,1055,5
Ty Jerome,801,0
Tyler Cook,200,14
Tyler Hall,2,0
Tyler Herro,2151,14
Tyler Johnson,182,0
Tyrell Terry,3,0
Tyrese Haliburton,5390,50
Tyrese Maxey,2650,14
Tyrone Wallace,75,0
Tyus Jones,1549,0
Udoka Azubuike,195,26
Udonis Haslem,83,0
Usman Garuba,239,5
Vernon Carey Jr.,88,0
Victor Oladipo,173,2
Vit Krejci,690,5
Vlatko Čančar,176,2
Wayne Ellington,810,0
Wayne Selden,19,0
Wendell Carter Jr.,1852,90
Wenyen Gabriel,716,26
Wes Iwundu,82,0
Wesley Matthews,1002,0
Will Barton,2277,23
Willie Cauley-Stein,366,14
Willy Hernangómez,839,30
Xavier Moon,137,0
Xavier Sneed,78,0
Xavier Tillman Sr.,701,16
Yuta Watanabe,445,2
Yves Pons,71,1
Zach Collins,502,6
Zach LaVine,2328,62
Zavier Simpson,174,0
Zeke Nnaji,698,20
Ziaire Williams,1346,44
Zylan Cheatham,5,0
